0.50966,0.83333,1.2501
0.49839,0.82206,1.2687
0.4839,0.80757,1.283
0.47101,0.7963,1.2949
0.46779,0.79147,1.3075
0.46457,0.78824,1.3178
0.46296,0.78341,1.3275
0.45491,0.77858,1.3366
0.45169,0.77697,1.3469
0.45008,0.77375,1.3563
0.44525,0.76892,1.3661
0.44364,0.76731,1.3753
0.43881,0.76409,1.3855
0.43237,0.76087,1.3914
0.42593,0.75282,1.399
0.4211,0.74638,1.4079
0.41304,0.74316,1.4159
0.41143,0.73671,1.4256
0.40821,0.7351,1.4356
0.40177,0.72705,1.4461
0.39855,0.72544,1.4564
0.3905,0.71417,1.4677
0.38567,0.70773,1.4773
0.36957,0.69324,1.4872
0.36795,0.68841,1.4984
0.36151,0.68196,1.5081
0.35668,0.66747,1.5182
0.35346,0.66264,1.5287
0.34219,0.65137,1.5397
0.33897,0.64171,1.5509
0.32931,0.62721,1.5613
0.3277,0.62238,1.5733
0.31804,0.60789,1.584
0.31481,0.60145,1.5954
0.3132,0.59662,1.6027
0.30998,0.59018,1.6088
0.30676,0.57729,1.6209
0.30676,0.57246,1.631
0.30354,0.55797,1.6424
0.30354,0.55314,1.6549
0.30193,0.54187,1.6662
0.30193,0.52738,1.677
0.30193,0.51771,1.69
0.30193,0.51288,1.7019
0.30193,0.49839,1.7142
0.30193,0.48873,1.7265
0.30193,0.4839,1.7376
0.30193,0.4694,1.7498
0.30193,0.46457,1.7617
0.30193,0.45974,1.7684
0.30193,0.45008,1.7758
0.30193,0.4372,1.7871
0.30193,0.42271,1.7995
0.30193,0.41787,1.8116
0.30193,0.40821,1.8243
0.30193,0.39694,1.8364
0.30193,0.39372,1.849
0.30193,0.3905,1.8608
0.30193,0.38567,1.874
0.30193,0.37923,1.8859
0.30515,0.37118,1.8991
0.30998,0.36312,1.9115
0.31481,0.35346,1.9241
0.3277,0.33736,1.9366
0.33253,0.33253,1.9495
0.33897,0.32609,1.9556
0.3438,0.31804,1.9655
0.35829,0.30515,1.9796
0.3744,0.2971,1.9938
0.38889,0.29066,2.0063
0.40016,0.28261,2.0184
0.4066,0.281,2.0325
0.41143,0.27778,2.0474
0.41626,0.27778,2.0608
0.42271,0.27617,2.0742
0.4372,0.27295,2.0874
0.44203,0.27295,2.1014
0.44686,0.27295,2.1076
0.46779,0.27295,2.1179
0.47262,0.27295,2.1332
0.49517,0.27295,2.1478
0.50644,0.27295,2.1599
0.5161,0.27295,2.1741
0.52093,0.27456,2.1872
0.52576,0.27456,2.2009
0.53382,0.27939,2.2153
0.54187,0.28422,2.2291
0.5467,0.29227,2.2436
0.54992,0.29549,2.2578
0.55475,0.30032,2.2718
0.5628,0.30837,2.2862
0.56763,0.32287,2.3009
0.57407,0.33736,2.316
0.58052,0.35829,2.331
0.58213,0.37601,2.3473
0.58213,0.39372,2.3634
0.58213,0.40821,2.3786
0.58213,0.41787,2.3939
0.58213,0.43237,2.4093
0.58213,0.44203,2.4251
0.58213,0.45652,2.4404
0.58213,0.47262,2.4557
0.57568,0.49034,2.471
0.57085,0.50161,2.4859
0.56441,0.51932,2.5006
0.55636,0.5306,2.5158
0.54992,0.54187,2.5298
0.54509,0.54831,2.5435
0.54187,0.55314,2.5574
0.53382,0.55797,2.5708
0.52415,0.56602,2.5848
0.51449,0.57246,2.5994
0.50322,0.57729,2.6145
0.49195,0.58374,2.6275
0.47746,0.58535,2.6415
0.46779,0.58535,2.6554
0.4533,0.58535,2.6685
0.44364,0.58535,2.6837
0.43398,0.58535,2.6974
0.41948,0.58535,2.7114
0.40177,0.58535,2.7254
0.38889,0.58535,2.7394
0.37762,0.58535,2.7534
0.36312,0.58213,2.7687
0.35346,0.57729,2.7835
0.33897,0.57085,2.7987
0.32931,0.5628,2.8142
0.32609,0.55797,2.8281
0.32126,0.55314,2.8425
0.3132,0.54831,2.857
0.30837,0.54831,2.8711
0.30515,0.5467,2.8856
0.30193,0.5467,2.9001
